"Timestamp","RunId","Step","StepMs","TotalMs"
"2026-02-12 10:43:50","20260212_104350_638","Load-Config","122.49","247.19"
"2026-02-12 10:43:50","20260212_104350_638","Apply-UiTheme","149.09","247.19"
"2026-02-12 10:43:50","20260212_104350_638","Ensure-Folders","156.14","247.19"
"2026-02-12 10:43:50","20260212_104350_638","Startup-TempCleanup (deleted=0 failed=0)","246.91","247.19"
"2026-02-12 10:44:03","20260212_104403_003","Load-Config","135.24","241.1"
"2026-02-12 10:44:03","20260212_104403_003","Apply-UiTheme","158.5","241.1"
"2026-02-12 10:44:03","20260212_104403_003","Ensure-Folders","169.65","241.1"
"2026-02-12 10:44:03","20260212_104403_003","Startup-TempCleanup (deleted=0 failed=0)","240.82","241.1"
"2026-02-12 10:47:06","20260212_104706_875","Load-Config","140.79","257.79"
"2026-02-12 10:47:06","20260212_104706_875","Apply-UiTheme","37.56","257.79"
"2026-02-12 10:47:06","20260212_104706_875","Ensure-Folders","7.36","257.79"
"2026-02-12 10:47:06","20260212_104706_875","Startup-TempCleanup (deleted=0 failed=0)","71.82","257.79"
"2026-02-12 10:51:30","20260212_105130_147","Load-Config","117.09","276.23"
"2026-02-12 10:51:30","20260212_105130_147","Apply-UiTheme","30.09","276.23"
"2026-02-12 10:51:30","20260212_105130_147","Ensure-Folders","6.66","276.23"
"2026-02-12 10:51:30","20260212_105130_147","Startup-TempCleanup (deleted=0 failed=0)","122.14","276.23"
"2026-02-12 10:51:37","20260212_105137_189","Load-Config","130.1","238.92"
"2026-02-12 10:51:37","20260212_105137_189","Apply-UiTheme","28.41","238.92"
"2026-02-12 10:51:37","20260212_105137_189","Ensure-Folders","6.33","238.92"
"2026-02-12 10:51:37","20260212_105137_189","Startup-TempCleanup (deleted=0 failed=0)","73.55","238.92"
"2026-02-12 10:54:05","20260212_105405_621","Load-Config","150.75","278.71"
"2026-02-12 10:54:05","20260212_105405_621","Apply-UiTheme","39.87","278.71"
"2026-02-12 10:54:05","20260212_105405_621","Ensure-Folders","7.72","278.71"
"2026-02-12 10:54:05","20260212_105405_621","Startup-TempCleanup (deleted=0 failed=0)","80.02","278.71"
"2026-02-12 11:12:41","20260212_111241_700","Load-Config","111.55","200.54"
"2026-02-12 11:12:41","20260212_111241_700","Apply-UiTheme","24.16","200.54"
"2026-02-12 11:12:41","20260212_111241_700","Ensure-Folders","5.17","200.54"
"2026-02-12 11:12:41","20260212_111241_700","Startup-TempCleanup (deleted=0 failed=0)","59.46","200.54"
"2026-02-12 11:12:50","20260212_111250_801","Load-Config","92.38","183.67"
"2026-02-12 11:12:50","20260212_111250_801","Apply-UiTheme","24.27","183.67"
"2026-02-12 11:12:50","20260212_111250_801","Ensure-Folders","7.35","183.67"
"2026-02-12 11:12:50","20260212_111250_801","Startup-TempCleanup (deleted=0 failed=0)","59.47","183.67"
"2026-02-12 11:12:55","20260212_111255_482","Load-Config","106.35","213.24"
"2026-02-12 11:12:55","20260212_111255_482","Apply-UiTheme","26.83","213.24"
"2026-02-12 11:12:55","20260212_111255_482","Ensure-Folders","17.65","213.24"
